date,state,cases_new,Latitude,Longitude
2020,Johor,5734,2.2179,103.117
2020,Kedah,3024,6.1218,100.3623
2020,Kelantan,758,5.0658,102.4737
2020,Melaka,1225,2.2137,102.2567
2020,Negeri Sembilan,7828,2.7083,101.9744
2020,Pahang,1365,3.988,102.4371
2020,Perak,3195,4.6089,101.0819
2020,Perlis,46,6.439,100.1906
2020,Pulau Pinang,3488,5.3549,100.4503
2020,Sabah,37040,5.3477,117.6276
2020,Sarawak,1117,2.8312,113.7185
2020,Selangor,32395,3.3394,101.5136
2020,Terengganu,325,5.025,103.0057
2020,W.P. Kuala Lumpur,13487,3.139,101.6869
2020,W.P. Labuan,1701,5.2831,115.24
2020,W.P. Putrajaya,282,2.9264,101.6938
2021,Johor,239206,2.2179,103.117
2021,Kedah,165362,6.1218,100.3623
2021,Kelantan,168285,5.0658,102.4737
2021,Melaka,75065,2.2137,102.2567
2021,Negeri Sembilan,105736,2.7083,101.9744
2021,Pahang,93981,3.988,102.4371
2021,Perak,125844,4.6089,101.0819
2021,Perlis,7123,6.439,100.1906
2021,Pulau Pinang,157616,5.3549,100.4503
2021,Sabah,203492,5.3477,117.6276
2021,Sarawak,251183,2.8312,113.7185
2021,Selangor,754235,3.3394,101.5136
2021,Terengganu,82355,5.025,103.0057
2021,W.P. Kuala Lumpur,197363,3.139,101.6869
2021,W.P. Labuan,9123,5.2831,115.24
2021,W.P. Putrajaya,9107,2.9264,101.6938
2022,Johor,152843,2.2179,103.117
2022,Kedah,149679,6.1218,100.3623
2022,Kelantan,90797,5.0658,102.4737
2022,Melaka,67956,2.2137,102.2567
2022,Negeri Sembilan,116999,2.7083,101.9744
2022,Pahang,87031,3.988,102.4371
2022,Perak,109441,4.6089,101.0819
2022,Perlis,11790,6.439,100.1906
2022,Pulau Pinang,145828,5.3549,100.4503
2022,Sabah,166016,5.3477,117.6276
2022,Sarawak,71301,2.8312,113.7185
2022,Selangor,758444,3.3394,101.5136
2022,Terengganu,50051,5.025,103.0057
2022,W.P. Kuala Lumpur,255563,3.139,101.6869
2022,W.P. Labuan,12094,5.2831,115.24
2022,W.P. Putrajaya,22758,2.9264,101.6938
2023,Johor,9124,2.2179,103.117
2023,Kedah,9096,6.1218,100.3623
2023,Kelantan,6448,5.0658,102.4737
2023,Melaka,14186,2.2137,102.2567
2023,Negeri Sembilan,8538,2.7083,101.9744
2023,Pahang,5334,3.988,102.4371
2023,Perak,9103,4.6089,101.0819
2023,Perlis,1161,6.439,100.1906
2023,Pulau Pinang,10819,5.3549,100.4503
2023,Sabah,5117,5.3477,117.6276
2023,Sarawak,7636,2.8312,113.7185
2023,Selangor,63640,3.3394,101.5136
2023,Terengganu,6244,5.025,103.0057
2023,W.P. Kuala Lumpur,40595,3.139,101.6869
2023,W.P. Labuan,753,5.2831,115.24
2023,W.P. Putrajaya,5168,2.9264,101.6938
2024,Johor,7231,2.2179,103.117
2024,Kedah,2921,6.1218,100.3623
2024,Kelantan,1664,5.0658,102.4737
2024,Melaka,3033,2.2137,102.2567
2024,Negeri Sembilan,2707,2.7083,101.9744
2024,Pahang,1419,3.988,102.4371
2024,Perak,1855,4.6089,101.0819
2024,Perlis,579,6.439,100.1906
2024,Pulau Pinang,2617,5.3549,100.4503
2024,Sabah,1530,5.3477,117.6276
2024,Sarawak,1506,2.8312,113.7185
2024,Selangor,15933,3.3394,101.5136
2024,Terengganu,2646,5.025,103.0057
2024,W.P. Kuala Lumpur,10098,3.139,101.6869
2024,W.P. Labuan,164,5.2831,115.24
2024,W.P. Putrajaya,1230,2.9264,101.6938
